Rk,Player,Age,G,GS,MP,FG,FGA,ThreeP,ThreePA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FGP,ThreePer,FTP,MPAVG,PTSAVG,TRBAVG,ASTAVG,STLAVG,BLKAVG,Series,ID
10,Spencer Hawes,26,3,0,11,1,6,0,1,0,0,0,2,2,0,0,1,0,1,2,0.167,0,,3.5999999,0.69999999,0.69999999,0,0,0.30000001,West 1stRd_15,122
11,Dahntay Jones,34,5,0,6,1,1,0,0,0,0,0,0,0,0,1,0,0,3,2,1,,,1.2,0.40000001,0,0,0.2,0,West 1stRd_15,123
12,Hedo Turkoglu,35,6,0,24,1,5,0,3,0,0,1,3,4,0,1,0,0,2,2,0.2,0,,4,0.30000001,0.69999999,0,0.2,0,West 1stRd_15,124
13,Ekpe Udoh,27,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,4.8000002,0,0,0,0,0,West 1stRd_15,125
1,Blake Griffin,25,7,7,269,76,137,1,4,35,52,19,67,86,34,4,4,26,25,188,0.55500001,0.25,0.67299998,38.5,26.9,12.3,4.9000001,0.60000002,0.60000002,West Semi_15,126
2,J.J. Redick,30,7,7,266,36,84,20,52,20,20,0,14,14,15,3,4,14,18,112,0.42899999,0.38499999,1,38.099998,16,2,2.0999999,0.40000001,0.60000002,West Semi_15,127
3,Chris Paul,29,5,5,170,37,76,12,30,20,22,5,16,21,50,8,0,10,15,106,0.48699999,0.40000001,0.90899998,34,21.200001,4.1999998,10,1.6,0,West Semi_15,128
4,Jamal Crawford,34,7,0,199,34,100,12,44,16,20,6,13,19,15,12,2,10,22,96,0.34,0.273,0.80000001,28.4,13.7,2.7,2.0999999,1.7,0.30000001,West Semi_15,129
5,DeAndre Jordan,26,7,7,230,28,39,0,0,39,84,26,68,94,12,14,15,7,26,95,0.71799999,,0.46399999,32.900002,13.6,13.4,1.7,2,2.0999999,West Semi_15,130
6,Austin Rivers,22,7,2,151,30,66,11,28,8,11,2,14,16,11,8,4,10,20,79,0.45500001,0.39300001,0.727,21.5,11.3,2.3,1.6,1.1,0.60000002,West Semi_15,131
7,Matt Barnes,34,7,7,211,18,51,6,31,12,13,5,31,36,16,8,5,8,29,54,0.35299999,0.19400001,0.92299998,30.200001,7.6999998,5.0999999,2.3,1.1,0.69999999,West Semi_15,132
8,Spencer Hawes,26,5,0,46,8,11,3,5,2,2,3,8,11,5,2,2,1,11,21,0.727,0.60000002,1,9.1999998,4.1999998,2.2,1,0.40000001,0.40000001,West Semi_15,133
9,Glen Davis,29,7,0,58,6,15,0,0,4,4,3,4,7,1,3,1,2,13,16,0.40000001,,1,8.3000002,2.3,1,0.1,0.40000001,0.1,West Semi_15,134
10,Lester Hudson,30,6,0,30,4,11,1,5,0,0,0,0,0,5,2,1,3,7,9,0.36399999,0.2,,5,1.5,0,0.80000001,0.30000001,0.2,West Semi_15,135
11,Hedo Turkoglu,35,5,0,30,3,12,2,10,0,0,0,3,3,4,3,1,2,8,8,0.25,0.2,,6.0999999,1.6,0.60000002,0.80000001,0.60000002,0.2,West Semi_15,136
12,Dahntay Jones,34,6,0,12,1,1,0,0,0,0,0,1,1,0,1,0,0,4,2,1,,,2,0.30000001,0.2,0,0.2,0,West Semi_15,137
13,Ekpe Udoh,27,3,0,7,1,3,0,0,0,0,0,3,3,0,0,0,0,3,2,0.333,,,2.4000001,0.69999999,1,0,0,0,West Semi_15,138
1,Marc Gasol,30,5,5,192,33,79,0,1,36,42,6,40,46,25,2,12,6,12,102,0.41800001,0,0.85699999,38.299999,20.4,9.1999998,5,0.40000001,2.4000001,West 1stRd_15,139
2,Courtney Lee,29,5,5,168,31,47,6,11,18,19,1,12,13,7,6,0,4,11,86,0.66000003,0.54500002,0.94700003,33.5,17.200001,2.5999999,1.4,1.2,0,West 1stRd_15,140
3,Zach Randolph,33,5,5,176,30,86,0,3,10,12,13,29,42,9,2,0,8,18,70,0.34900001,0,0.833,35.200001,14,8.3999996,1.8,0.40000001,0,West 1stRd_15,141
4,Mike Conley,27,3,3,79,18,36,3,8,9,10,0,5,5,11,3,0,4,1,48,0.5,0.375,0.89999998,26.4,16,1.7,3.7,1,0,West 1stRd_15,142
5,Beno Udrih,32,4,0,82,19,39,2,7,7,8,4,8,12,12,0,0,1,7,47,0.48699999,0.28600001,0.875,20.5,11.8,3,3,0,0,West 1stRd_15,143
6,Jeff Green,28,5,1,126,14,52,2,7,16,18,3,25,28,8,2,4,5,10,46,0.26899999,0.28600001,0.889,25.299999,9.1999998,5.5999999,1.6,0.40000001,0.80000001,West 1stRd_15,144
7,Nick Calathes,25,5,2,83,12,30,6,11,3,6,1,10,11,10,4,1,6,11,33,0.40000001,0.54500002,0.5,16.6,6.5999999,2.2,2,0.80000001,0.2,West 1stRd_15,145
8,Tony Allen,33,5,4,150,11,19,1,3,5,7,7,27,34,8,12,8,4,15,28,0.579,0.333,0.71399999,29.9,5.5999999,6.8000002,1.6,2.4000001,1.6,West 1stRd_15,146
9,Vince Carter,38,5,0,76,11,25,3,11,2,2,5,11,16,3,2,2,0,5,27,0.44,0.273,1,15.2,5.4000001,3.2,0.60000002,0.40000001,0.40000001,West 1stRd_15,147
10,Kosta Koufos,25,5,0,62,7,12,0,0,2,3,8,7,15,1,2,4,0,9,16,0.583,,0.667,12.5,3.2,3,0.2,0.40000001,0.80000001,West 1stRd_15,148
11,Jordan Adams,20,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,1.4,0,0,0,1,0,West 1stRd_15,149
12,JaMychal Green,24,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.4,0,0,0,0,0,West 1stRd_15,150
13,Jon Leuer,25,2,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,,,,1.8,0,0.5,0,0,0,West 1stRd_15,151
1,Marc Gasol,30,6,6,224,38,101,0,1,39,46,13,54,67,24,8,7,10,21,115,0.37599999,0,0.84799999,37.299999,19.200001,11.2,4,1.3,1.2,West Semi_15,152
2,Zach Randolph,33,6,6,206,41,82,1,2,19,21,19,32,51,14,4,0,15,19,102,0.5,0.5,0.90499997,34.400002,17,8.5,2.3,0.69999999,0,West Semi_15,153
3,Mike Conley,27,5,5,164,23,60,7,25,14,18,0,4,4,29,8,0,8,9,67,0.38299999,0.28,0.778,32.799999,13.4,0.80000001,5.8000002,1.6,0,West Semi_15,154
4,Courtney Lee,29,6,6,199,24,53,8,19,4,4,2,13,15,17,6,0,9,13,60,0.45300001,0.421,1,33.200001,10,2.5,2.8,1,0,West Semi_15,155
5,Jeff Green,28,6,1,172,22,56,2,11,6,8,6,18,24,11,3,1,11,8,52,0.39300001,0.182,0.75,28.6,8.6999998,4,1.8,0.5,0.2,West Semi_15,156
6,Vince Carter,38,6,0,120,16,42,4,17,6,7,8,23,31,8,5,0,7,12,42,0.38100001,0.235,0.85699999,20,7,5.1999998,1.3,0.80000001,0,West Semi_15,157
7,Tony Allen,33,5,5,129,17,38,0,4,4,5,7,11,18,7,12,3,9,12,38,0.447,0,0.80000001,25.799999,7.5999999,3.5999999,1.4,2.4000001,0.60000002,West Semi_15,158
8,Beno Udrih,32,6,0,93,12,34,2,9,3,4,0,8,8,9,5,0,3,9,29,0.35299999,0.222,0.75,15.5,4.8000002,1.3,1.5,0.80000001,0,West Semi_15,159
9,Kosta Koufos,25,6,0,65,10,19,0,0,1,2,11,13,24,3,2,2,1,5,21,0.52600002,,0.5,10.8,3.5,4,0.5,0.30000001,0.30000001,West Semi_15,160
10,Jordan Adams,20,3,0,8,2,3,1,1,2,4,0,1,1,0,0,0,0,0,7,0.667,1,0.5,2.8,2.3,0.30000001,0,0,0,West Semi_15,161
11,Jon Leuer,25,2,0,6,2,4,0,0,0,0,2,2,4,0,0,0,0,0,4,0.5,,,2.9000001,2,2,0,0,0,West Semi_15,162
12,JaMychal Green,24,4,0,7,0,2,0,1,2,2,0,3,3,0,1,1,0,1,2,0,0,1,1.7,0.5,0.80000001,0,0.30000001,0.30000001,West Semi_15,163
13,Nick Calathes,25,4,1,43,0,6,0,2,0,2,0,5,5,6,5,0,4,4,0,0,0,0,10.8,0,1.3,1.5,1.3,0,West Semi_15,164
14,Russ Smith,23,2,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,,,,1.7,0,0,1,0,0,West Semi_15,165
1,DeMarre Carroll,28,6,6,210,38,70,14,30,15,18,12,31,43,17,5,1,7,18,105,0.54299998,0.46700001,0.833,35.099998,17.5,7.1999998,2.8,0.80000001,0.2,East 1stRd_15,166
2,Paul Millsap,29,6,6,221,36,80,10,21,12,20,13,45,58,20,13,7,7,17,94,0.44999999,0.47600001,0.60000002,36.799999,15.7,9.6999998,3.3,2.2,1.2,East 1stRd_15,167
3,Kyle Korver,33,6,6,229,30,69,23,58,10,12,0,36,36,18,10,6,5,6,93,0.435,0.39700001,0.833,38.200001,15.5,6,3,1.7,1,East 1stRd_15,168
4,Al Horford,28,6,6,198,40,83,0,4,6,8,15,45,60,23,6,7,12,15,86,0.48199999,0,0.75,33,14.3,10,3.8,1,1.2,East 1stRd_15,169
5,Jeff Teague,26,6,6,189,30,76,7,21,18,23,2,12,14,47,12,1,19,12,85,0.39500001,0.333,0.78299999,31.6,14.2,2.3,7.8000002,2,0.2,East 1stRd_15,170
6,Dennis Schroder,21,6,0,112,23,55,2,12,8,9,0,3,3,20,3,0,16,7,56,0.41800001,0.167,0.889,18.700001,9.3000002,0.5,3.3,0.5,0,East 1stRd_15,171
7,Pero Antic,32,6,0,95,10,24,7,15,10,12,5,13,18,2,1,2,2,16,37,0.417,0.46700001,0.833,15.9,6.1999998,3,0.30000001,0.2,0.30000001,East 1stRd_15,172
8,Mike Scott,26,6,0,66,10,25,2,9,2,2,8,10,18,0,2,0,2,5,24,0.40000001,0.222,1,10.9,4,3,0,0.30000001,0,East 1stRd_15,173
9,Kent Bazemore,25,6,0,106,8,26,1,13,3,4,3,16,19,3,3,3,3,10,20,0.308,0.077,0.75,17.700001,3.3,3.2,0.5,0.5,0.5,East 1stRd_15,174
10,Shelvin Mack,24,5,0,24,3,9,1,4,0,0,1,1,2,4,4,0,0,2,7,0.333,0.25,,4.9000001,1.4,0.40000001,0.80000001,0.80000001,0,East 1stRd_15,175
11,Mike Muscala,23,1,0,6,2,3,0,1,0,0,1,1,2,0,1,1,2,1,4,0.667,0,,5.9000001,4,2,0,1,1,East 1stRd_15,176
12,Elton Brand,35,2,0,4,0,1,0,0,0,0,0,1,1,0,0,0,0,2,0,0,,,1.9,0,0.5,0,0,0,East 1stRd_15,177
13,John Jenkins,23,1,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.5999999,0,0,0,0,0,East 1stRd_15,178
1,Jeff Teague,26,4,4,140,33,76,7,25,13,13,0,13,13,18,5,4,7,9,86,0.43399999,0.28,1,35,21.5,3.3,4.5,1.3,1,East Conference_15,179
2,Paul Millsap,29,4,4,141,15,43,1,9,24,29,8,23,31,10,3,1,7,15,55,0.34900001,0.111,0.82800001,35.400002,13.8,7.8000002,2.5,0.80000001,0.30000001,East Conference_15,180
3,Al Horford,28,4,4,116,21,36,0,1,2,4,5,14,19,10,1,2,2,7,44,0.583,0,0.5,29,11,4.8000002,2.5,0.30000001,0.5,East Conference_15,181
4,Kent Bazemore,25,4,2,106,14,29,2,9,13,19,0,21,21,6,4,2,4,7,43,0.48300001,0.222,0.68400002,26.4,10.8,5.3000002,1.5,1,0.5,East Conference_15,182
5,Shelvin Mack,24,3,0,66,11,28,5,16,3,6,1,8,9,5,3,0,1,4,30,0.39300001,0.31299999,0.5,21.799999,10,3,1.7,1,0,East Conference_15,183
6,DeMarre Carroll,28,4,4,136,11,34,4,15,2,4,4,11,15,6,5,2,2,11,28,0.324,0.26699999,0.5,34,7,3.8,1.5,1.3,0.5,East Conference_15,184
7,Dennis Schroder,21,4,0,53,10,30,1,8,2,2,1,6,7,10,1,0,3,7,23,0.333,0.125,1,13.3,5.8000002,1.8,2.5,0.30000001,0,East Conference_15,185
8,Kyle Korver,33,2,2,68,7,16,4,10,3,3,0,8,8,4,1,0,3,5,21,0.43799999,0.40000001,1,34.200001,10.5,4,2,0.5,0,East Conference_15,186
9,Mike Scott,26,3,0,82,7,20,0,12,2,2,6,14,20,5,2,0,5,9,16,0.34999999,0,1,27.4,5.3000002,6.6999998,1.7,0.69999999,0,East Conference_15,187
10,Mike Muscala,23,4,0,37,6,10,0,1,0,0,1,2,3,1,0,1,1,2,12,0.60000002,0,,9.1999998,3,0.80000001,0.30000001,0,0.30000001,East Conference_15,188
11,John Jenkins,23,2,0,17,4,5,2,3,0,0,1,2,3,0,0,0,0,2,10,0.80000001,0.667,,8.3999996,5,1.5,0,0,0,East Conference_15,189
12,Pero Antic,32,3,0,23,0,2,0,2,1,2,0,8,8,1,1,0,2,6,1,0,0,0.5,7.6999998,0.30000001,2.7,0.30000001,0.30000001,0,East Conference_15,190
13,Elton Brand,35,1,0,,0,0,0,0,1,2,0,0,0,0,0,0,0,1,1,,,0.5,,1,0,0,0,0,East Conference_15,191
1,Al Horford,28,6,6,208,46,92,2,4,7,8,20,39,59,26,6,14,11,12,101,0.5,0.5,0.875,34.599998,16.799999,9.8000002,4.3000002,1,2.3,East Semi_15,192
2,DeMarre Carroll,28,6,6,212,37,73,11,27,15,19,10,29,39,9,8,2,6,7,100,0.50700003,0.40700001,0.78899997,35.299999,16.700001,6.5,1.5,1.3,0.30000001,East Semi_15,193
3,Jeff Teague,26,6,6,199,35,87,7,19,21,24,8,16,24,42,7,2,17,13,98,0.40200001,0.368,0.875,33.200001,16.299999,4,7,1.2,0.30000001,East Semi_15,194
4,Paul Millsap,29,6,5,204,34,86,4,19,22,29,15,35,50,25,9,6,20,20,94,0.39500001,0.211,0.759,34,15.7,8.3000002,4.1999998,1.5,1,East Semi_15,195
5,Dennis Schroder,21,6,0,125,23,60,5,14,14,17,4,15,19,32,5,0,8,14,65,0.38299999,0.35699999,0.824,20.799999,10.8,3.2,5.3000002,0.80000001,0,East Semi_15,196
6,Kyle Korver,33,6,6,228,15,48,12,42,0,1,1,25,26,11,9,9,13,16,42,0.31299999,0.28600001,0,38,7,4.3000002,1.8,1.5,1.5,East Semi_15,197
7,Mike Muscala,23,5,0,59,12,20,2,6,0,0,6,7,13,0,0,1,1,10,26,0.60000002,0.333,,11.8,5.1999998,2.5999999,0,0,0.2,East Semi_15,198
8,Pero Antic,32,6,1,80,6,24,4,15,9,11,4,13,17,1,0,1,1,16,25,0.25,0.26699999,0.81800002,13.4,4.1999998,2.8,0.2,0,0.2,East Semi_15,199
9,Kent Bazemore,25,6,0,91,8,16,3,6,5,8,0,13,13,4,4,4,4,8,24,0.5,0.5,0.625,15.2,4,2.2,0.69999999,0.69999999,0.69999999,East Semi_15,200
10,Mike Scott,26,2,0,24,4,10,2,5,0,0,2,6,8,0,1,0,0,2,10,0.40000001,0.40000001,,11.9,5,4,0,0.5,0,East Semi_15,201
11,Shelvin Mack,24,2,0,9,1,2,0,1,0,0,0,0,0,1,1,0,1,1,2,0.5,0,,4.5,1,0,0.5,0.5,0,East Semi_15,202
12,John Jenkins,23,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.89999998,0,0,0,0,0,East Semi_15,203
1,Monta Ellis,29,5,5,197,52,111,11,30,15,20,4,12,16,26,10,3,16,18,130,0.46799999,0.36700001,0.75,39.400002,26,3.2,5.1999998,2,0.60000002,West 1stRd_15,204
2,Dirk Nowitzki,36,5,5,181,38,84,4,17,26,28,4,48,52,12,2,2,10,16,106,0.45199999,0.235,0.92900002,36.200001,21.200001,10.4,2.4000001,0.40000001,0.40000001,West 1stRd_15,205
3,Jose Barea,30,5,2,154,25,57,4,16,5,6,5,19,24,37,4,0,14,17,59,0.43900001,0.25,0.833,30.700001,11.8,4.8000002,7.4000001,0.80000001,0,West 1stRd_15,206
4,Al-Farouq Aminu,24,5,2,150,17,31,7,11,15,19,14,22,36,6,10,8,6,15,56,0.54799998,0.63599998,0.78899997,30,11.2,7.1999998,1.2,2,1.6,West 1stRd_15,207
5,Tyson Chandler,32,5,5,160,19,29,0,0,13,26,27,27,54,1,3,6,5,16,51,0.65499997,,0.5,32.099998,10.2,10.8,0.2,0.60000002,1.2,West 1stRd_15,208
6,Amar'e Stoudemire,32,5,0,75,15,35,0,0,9,13,7,9,16,3,1,3,7,16,39,0.42899999,,0.69199997,15,7.8000002,3.2,0.60000002,0.2,0.60000002,West 1stRd_15,209
7,Charlie Villanueva,30,5,0,43,11,25,8,19,0,0,4,9,13,3,1,1,0,10,30,0.44,0.421,,8.6999998,6,2.5999999,0.60000002,0.2,0.2,West 1stRd_15,210
8,Devin Harris,31,4,0,74,8,23,0,11,8,9,1,7,8,4,2,0,4,10,24,0.34799999,0,0.889,18.4,6,2,1,0.5,0,West 1stRd_15,211
9,Rajon Rondo,28,2,2,37,9,20,1,2,0,0,1,1,2,6,0,0,2,6,19,0.44999999,0.5,,18.6,9.5,1,3,0,0,West 1stRd_15,212
10,Richard Jefferson,34,4,2,51,5,14,3,8,2,2,0,2,2,1,2,0,3,9,15,0.35699999,0.375,1,12.7,3.8,0.5,0.30000001,0.5,0,West 1stRd_15,213
11,Raymond Felton,30,3,1,36,4,15,0,4,3,3,1,6,7,4,0,0,0,1,11,0.26699999,0,1,12,3.7,2.3,1.3,0,0,West 1stRd_15,214
12,Chandler Parsons,26,1,1,37,5,15,0,4,0,0,0,6,6,2,0,0,1,1,10,0.333,0,,36.799999,10,6,2,0,0,West 1stRd_15,215
13,Bernard James,29,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.9,0,0,0,0,0,West 1stRd_15,216
14,Dwight Powell,23,2,0,3,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,,,1.3,0,0.5,0.5,0,0,West 1stRd_15,217
15,Greg Smith,24,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.69999999,0,0,0,0,0,West 1stRd_15,218
1,Brook Lopez,26,6,6,234,43,87,0,0,33,40,20,34,54,5,4,13,6,18,119,0.49399999,,0.82499999,38.900002,19.799999,9,0.80000001,0.69999999,2.2,East 1stRd_15,219
2,Joe Johnson,33,6,6,249,34,94,12,41,19,24,5,41,46,29,7,0,5,16,99,0.36199999,0.29300001,0.792,41.599998,16.5,7.6999998,4.8000002,1.2,0,East 1stRd_15,220
3,Jarrett Jack,31,6,0,153,28,54,5,15,13,13,2,23,25,27,7,1,20,14,74,0.51899999,0.333,1,25.5,12.3,4.1999998,4.5,1.2,0.2,East 1stRd_15,221
4,Deron Williams,30,6,6,192,27,69,11,26,6,7,3,34,37,33,8,0,16,18,71,0.391,0.42300001,0.85699999,32,11.8,6.1999998,5.5,1.3,0,East 1stRd_15,222
5,Alan Anderson,32,6,0,142,25,41,10,16,6,9,2,19,21,7,4,1,8,9,66,0.61000001,0.625,0.667,23.6,11,3.5,1.2,0.69999999,0.2,East 1stRd_15,223
6,Thaddeus Young,26,6,6,190,29,66,0,4,5,12,17,26,43,16,5,1,14,15,63,0.43900001,0,0.417,31.700001,10.5,7.1999998,2.7,0.80000001,0.2,East 1stRd_15,224
7,Bojan Bogdanovic,25,6,5,206,23,59,11,33,5,7,3,20,23,10,4,2,8,12,62,0.38999999,0.333,0.71399999,34.400002,10.3,3.8,1.7,0.69999999,0.30000001,East 1stRd_15,225
8,Mason Plumlee,24,6,0,49,4,6,0,0,4,11,2,6,8,2,4,2,3,10,12,0.667,,0.36399999,8.1999998,2,1.3,0.30000001,0.69999999,0.30000001,East 1stRd_15,226
9,Markel Brown,23,2,1,10,2,5,0,2,2,2,2,0,2,1,0,0,2,0,6,0.40000001,0,1,5.0999999,3,1,0.5,0,0,East 1stRd_15,227
10,Earl Clark,27,2,0,13,2,10,2,3,0,0,0,2,2,0,1,0,0,1,6,0.2,0.667,,6.5,3,1,0,0.5,0,East 1stRd_15,228
11,Jerome Jordan,28,1,0,5,0,2,0,0,0,0,1,1,2,0,0,0,1,0,0,0,,,4.6999998,0,2,0,0,0,East 1stRd_15,229
12,Darius Morris,24,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,4.6999998,0,0,0,0,0,East 1stRd_15,230
13,Mirza Teletovic,29,3,0,16,0,5,0,4,0,0,0,4,4,0,1,0,1,1,0,0,0,,5.5,0,1.3,0,0.30000001,0,East 1stRd_15,231
1,Anthony Davis,21,4,4,172,47,87,0,2,32,36,9,35,44,8,5,12,13,12,126,0.54000002,0,0.889,42.900002,31.5,11,2,1.3,3,West 1stRd_15,232
2,Eric Gordon,26,4,4,143,28,63,13,32,5,6,2,7,9,15,2,2,10,11,74,0.44400001,0.40599999,0.833,35.799999,18.5,2.3,3.8,0.5,0.5,West 1stRd_15,233
3,Ryan Anderson,26,4,0,95,16,36,5,12,6,6,7,10,17,9,0,2,4,12,43,0.44400001,0.417,1,23.700001,10.8,4.3000002,2.3,0,0.5,West 1stRd_15,234
4,Tyreke Evans,25,4,4,125,14,43,2,11,10,17,3,17,20,20,5,1,6,10,40,0.32600001,0.182,0.588,31.299999,10,5,5,1.3,0.30000001,West 1stRd_15,235
5,Norris Cole,26,4,0,106,15,36,3,14,2,3,1,6,7,7,0,1,8,15,35,0.417,0.214,0.667,26.4,8.8000002,1.8,1.8,0,0.30000001,West 1stRd_15,236
6,Quincy Pondexter,26,4,4,124,10,28,3,10,6,7,3,17,20,12,7,0,1,13,29,0.35699999,0.30000001,0.85699999,31.1,7.3000002,5,3,1.8,0,West 1stRd_15,237
7,Dante Cunningham,27,4,0,75,9,11,0,0,3,3,4,14,18,2,3,4,0,7,21,0.81800002,,1,18.799999,5.3000002,4.5,0.5,0.80000001,1,West 1stRd_15,238
8,Jrue Holiday,24,3,0,55,7,19,1,4,4,4,2,1,3,13,2,1,5,3,19,0.368,0.25,1,18.200001,6.3000002,1,4.3000002,0.69999999,0.30000001,West 1stRd_15,239
9,Alexis Ajinca,26,3,0,10,4,4,0,0,0,0,0,1,1,1,1,0,0,2,8,1,,,3.5,2.7,0.30000001,0.30000001,0.30000001,0,West 1stRd_15,240
10,Omer Asik,28,4,4,79,2,10,0,0,4,7,12,17,29,6,5,0,5,10,8,0.2,,0.57099998,19.799999,2,7.3000002,1.5,1.3,0,West 1stRd_15,241
1,DeMar DeRozan,25,4,4,159,32,80,3,8,14,17,5,20,25,23,6,0,10,12,81,0.40000001,0.375,0.824,39.700001,20.299999,6.3000002,5.8000002,1.5,0,East 1stRd_15,242
2,Lou Williams,28,4,0,102,16,51,4,21,15,18,2,5,7,5,6,0,3,9,51,0.31400001,0.19,0.833,25.6,12.8,1.8,1.3,1.5,0,East 1stRd_15,243
